CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,y
46.202404,69.11131,76.666855,76.798256,65.03158,60.099674,56.755512,65.126434,57.901516,77.82447,0.0
59.103947,35.433884,68.79028,74.33955,33.232784,65.350266,49.81005,56.61943,70.51713,71.81542,0.0
41.193516,29.420809,73.2987,66.50379,37.830727,40.764313,34.18853,30.937738,53.210667,54.827095,0.0
39.062252,68.95539,76.66404,72.80403,68.43595,46.162537,39.306767,42.78548,47.124485,64.85132,0.0
46.1807,29.825926,76.6667,75.74933,66.9766,58.309647,34.352432,30.893763,72.67271,72.0081,0.0
65.730095,62.371883,41.782406,69.9218,31.73676,75.50765,67.617714,56.137245,58.844284,75.39777,0.0
61.731228,56.766357,59.290276,74.040634,33.72365,67.35746,68.92958,64.95397,71.39727,75.41559,0.0
61.29752,50.51647,41.653862,54.97891,32.299843,71.78442,56.185265,50.002384,46.75338,62.03437,0.0
38.68626,31.666122,76.66324,65.75789,53.294586,40.738544,34.172977,54.71428,64.03953,57.404644,0.0
54.3417,68.66134,76.66651,76.40252,65.81928,56.913937,48.64009,56.26649,67.45833,74.84758,0.0
42.499256,29.746742,76.66626,76.123535,46.312115,46.171204,34.471363,63.7559,72.687164,70.160904,0.0
49.80742,47.177025,73.20888,77.31465,33.228485,71.13917,59.31995,56.895065,72.2503,77.28439,0.0
57.911465,45.777843,70.2702,69.90923,38.107296,62.953716,50.671852,62.844765,62.084393,67.830025,0.0
59.354763,32.41606,50.6761,69.29493,36.368534,59.163624,39.09995,53.018906,60.93343,64.51955,0.0
57.972546,50.658154,44.19282,74.47254,37.685207,66.81361,62.26125,42.41532,67.359505,72.34785,0.0
61.456894,62.640224,75.42156,74.38713,34.439693,68.18239,58.18136,67.049164,67.35696,75.76917,0.0
62.637833,66.58572,42.93264,65.63231,39.286877,74.31593,64.79141,50.216316,50.30738,74.14661,0.0
57.244854,33.002472,68.271255,72.79867,36.557693,68.50022,38.79227,35.417393,69.16629,71.97782,0.0
55.808712,68.30158,52.00372,64.28725,52.610947,74.01548,57.25083,49.533916,46.6777,72.533585,0.0
41.87843,29.615011,73.85114,74.52687,30.561426,61.463245,34.564915,34.118862,51.92494,76.748276,0.0
39.55857,33.188225,76.66688,75.45384,44.259926,43.130024,36.023838,68.301315,72.29405,70.85998,0.0
45.152237,49.246098,75.67577,72.1898,58.174774,60.893898,36.183884,45.14849,63.21636,69.21385,0.0
58.670013,68.23099,75.229965,72.10253,54.94113,69.40864,61.137276,52.31965,53.232628,74.725716,0.0
45.839558,29.503836,60.96603,67.02984,35.86827,53.913216,34.96485,33.292343,48.113235,65.642,0.0
47.798832,30.045721,42.50531,55.98795,33.76658,46.711834,35.859104,36.753693,48.171436,51.395653,0.0
38.688118,69.29845,76.667404,62.984863,68.63329,42.98194,34.318596,33.494606,45.51457,64.94957,0.0
51.353672,63.903778,76.36607,72.63209,50.76365,59.5337,41.66206,49.45395,61.158043,68.669785,0.0
