CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,ACCELERATION,SPRINT_SPEED,AGILITY,REACTION,BALANCE,SHOT_POWER,JUMPING,STAMINA,STRENGTH,LONG_SHOTS,y
57.369198,53.038166,67.78533,65.80199,62.717884,58.477013,49.674732,47.46083,60.35884,60.419006,57.741875,59.147877,61.0227,64.97887,59.573414,67.07139,76.0264,78.97842,74.70081,57.496456,0.0
50.990524,61.41079,54.064697,62.08952,44.034294,54.034668,53.334137,38.56426,54.959576,58.579166,61.42736,73.45466,54.058746,61.665184,53.327736,69.72476,57.965775,80.399536,80.38872,65.66561,0.0
56.85732,53.314262,70.69675,73.294975,64.709,59.47779,49.80333,65.7928,65.506424,64.53803,70.43347,67.19208,77.428825,62.57782,70.02014,74.60604,75.18566,81.84798,58.529724,69.0078,0.0
47.712204,69.36892,74.99985,58.8604,58.536587,57.842995,49.046814,37.339455,45.30247,69.514946,68.36934,64.70132,61.186234,60.054466,70.49402,76.8055,72.77411,75.32519,74.30783,66.37002,0.0
38.93206,68.52605,63.75268,66.74631,50.448475,51.85132,43.07758,62.629627,45.311783,72.42485,60.82365,59.835274,57.269634,65.995094,68.093445,77.84135,73.61092,76.80464,80.353645,67.554886,0.0
58.26429,40.499443,61.55512,69.05799,64.44635,56.970955,48.35272,50.22,64.587715,64.430275,62.369324,68.17801,63.371567,67.5279,65.4162,70.480225,68.13522,81.37396,71.892685,59.351128,0.0
47.542835,69.36856,75.025826,65.509476,64.07437,64.84048,56.97202,34.604206,45.30444,63.094463,80.70009,80.76025,78.653114,60.0706,77.36841,72.53317,78.60351,65.64223,58.42362,53.811222,0.0
42.72185,47.760334,75.93121,69.30187,30.12655,40.807934,34.190933,31.100159,64.29078,50.827724,67.89212,64.47949,54.072998,74.49,58.939827,65.533424,71.59019,73.71248,69.622406,55.59945,0.0
62.270668,33.68864,48.172546,76.56363,61.926483,58.239014,37.127377,31.135345,66.99889,64.65824,73.06172,71.97986,63.360947,74.71263,78.25127,53.922874,72.28674,82.08975,80.23065,49.36926,0.0
41.700134,31.307478,76.5163,65.662766,39.546665,55.284065,42.376083,34.38738,46.344364,66.328125,65.10821,64.32318,57.714603,68.36564,53.334206,74.7938,78.57006,70.43919,80.3866,43.799145,0.0
54.49792,52.3329,73.90516,66.546974,55.799862,51.788097,35.785122,37.82143,56.28849,56.82053,55.043564,56.158062,56.521057,60.070675,72.656334,70.50406,77.50596,72.90383,59.111683,54.93739,0.0
55.96299,40.24144,69.5848,69.97412,56.15611,56.32151,44.061123,52.77665,66.1225,62.788517,61.633717,65.67167,60.054867,66.29847,60.997475,70.929794,66.911224,79.371994,71.21544,62.3409,0.0
48.899765,37.49151,76.62372,70.279785,33.877537,50.738667,47.91605,31.171259,60.994476,66.60773,70.390434,70.02651,54.69985,77.19091,77.44226,51.238346,78.853325,71.28505,80.284,34.485626,0.0
58.71188,69.36921,75.24352,68.513016,68.575645,63.998936,53.146355,41.34146,45.4377,73.57167,65.34183,68.17036,64.91908,66.92101,68.99191,74.118225,76.60176,72.25301,76.52199,62.47947,0.0
57.0706,41.511936,73.54765,69.18684,46.2756,43.85398,37.96063,66.80445,63.968983,61.484344,63.360382,64.952995,57.175053,67.15242,64.38014,71.17305,69.451675,77.77381,70.007385,68.849434,0.0
52.184357,47.125916,68.36155,75.874054,49.665493,55.35553,45.58279,57.315002,69.93302,60.84405,65.49104,67.465164,60.07846,69.19858,53.34066,76.396095,64.544106,82.06447,80.374596,68.48462,0.0
41.480473,30.155462,76.6639,77.23456,31.47838,42.26613,40.868454,30.996904,63.62635,51.068466,55.041767,56.1577,53.51073,77.624176,53.32771,59.119072,78.86839,73.01676,80.38872,68.521736,0.0
41.942688,44.669136,76.350235,67.99966,30.1127,40.8094,37.67637,33.936195,63.804195,67.88263,56.767986,56.575485,53.62173,73.35516,76.95709,47.198914,78.51294,59.552685,80.16894,34.45389,0.0
39.54104,38.70162,62.52187,68.376816,40.012768,41.349712,36.117027,37.29564,66.76139,52.793655,55.047367,56.167534,53.482277,60.053482,64.8737,78.217224,75.273445,73.67868,80.38328,62.343407,0.0
54.134186,37.902378,72.051445,66.157104,36.5329,61.492115,35.43955,45.608974,62.55057,63.841938,67.51,72.263695,60.19711,64.0573,63.00735,71.93017,68.96474,78.80865,75.728584,43.04283,0.0
58.1026,52.46008,64.96807,66.11469,60.08893,61.017063,53.814083,56.149284,60.190292,62.95652,67.44002,68.23459,68.25122,64.125786,68.30145,67.34746,73.760475,80.21665,64.69987,63.2916,0.0
53.04725,45.060493,65.196335,70.96261,59.11907,56.700455,51.758785,49.190845,62.897102,63.997974,61.702393,66.71698,63.11407,66.33807,54.46467,73.058136,59.34723,81.40481,76.77193,62.006924,0.0
52.424885,52.786358,69.957466,67.23358,62.303333,55.75535,57.628826,64.4282,56.91273,63.37782,65.59874,63.451893,71.73808,63.467854,65.90967,71.15916,59.39278,77.9662,58.42436,59.342495,0.0
59.79717,38.09201,62.734047,77.45605,66.06605,56.12368,42.207375,45.3847,70.86846,66.36164,66.91193,68.4913,66.895164,76.64332,71.87255,66.422195,74.92002,82.14765,72.476685,60.31917,0.0
51.86384,51.83842,51.49522,68.043465,41.22721,52.279015,51.23701,62.402397,62.108315,62.26516,64.296326,64.330986,68.735725,63.221825,63.151566,68.67226,57.90321,65.117966,58.450787,60.054276,0.0
57.770393,33.793274,70.6974,66.22985,41.744854,53.276993,38.466743,37.941616,59.361057,56.433407,56.626873,56.99346,58.655228,64.8663,62.520226,67.83688,73.81832,65.74068,60.846607,39.749386,0.0
58.515438,35.89104,73.739494,60.739784,31.273228,52.57315,56.889713,42.780544,62.481625,57.200237,71.97603,71.68195,56.530746,66.24812,54.110573,68.23974,76.81355,75.57855,80.32938,53.103054,0.0
55.35768,45.8521,66.08643,65.493645,56.047718,48.700874,38.246964,42.95866,58.434895,58.177505,62.877655,64.234924,59.74378,66.03924,62.178642,62.513344,73.897385,76.00043,72.015396,55.56522,0.0
52.753418,32.927307,76.26428,66.37155,31.088837,41.95097,36.286095,31.000765,53.058086,52.375847,78.22064,67.204185,53.485172,77.10766,70.57233,56.22569,78.80196,79.1,80.38872,65.27897,0.0
56.224644,69.36943,71.11461,61.440853,68.01791,54.415394,58.748753,46.21073,45.417732,60.23595,76.0657,78.36323,67.14381,60.517128,53.65703,76.0419,58.278435,71.81517,60.11086,68.42714,0.0
53.52679,47.968155,74.0336,75.878494,49.481956,49.232574,42.989464,55.472984,69.824585,62.512672,66.90323,65.83953,56.8862,76.09784,60.875183,73.24976,70.97566,81.117546,74.12512,67.958984,0.0
60.913265,69.367355,74.68535,63.421043,68.18951,60.05815,56.00718,60.255634,45.46859,65.362946,69.91301,72.162384,65.72245,69.4338,59.351273,75.05054,68.68717,77.24412,60.512695,64.89402,0.0
49.23654,39.643017,47.158493,62.63718,36.583977,50.530334,45.113773,41.0291,61.790108,54.257477,62.62375,62.487442,72.15709,60.057217,61.251595,74.1949,57.90232,77.93393,58.456036,52.42615,0.0
57.207073,61.354404,54.31894,58.848232,42.20093,53.91327,57.580307,43.720802,46.045376,56.87103,72.5146,73.580215,69.80558,60.10117,58.99732,71.758286,59.576084,75.28488,59.05236,60.600037,0.0
54.863335,69.24605,55.863255,63.3277,67.306046,66.55501,67.74817,39.11381,52.614117,65.19854,80.58645,80.69524,78.65882,69.760666,77.273895,62.638393,58.210026,70.90123,58.431725,60.696655,0.0
56.843704,31.110039,75.37289,68.035034,34.166397,47.80883,42.562,31.523264,62.267166,63.731358,72.68162,76.04714,54.967045,72.96734,68.17506,47.426437,71.345,75.734825,75.28994,34.46426,0.0
59.198795,44.013706,76.38256,77.32702,38.77378,49.394165,41.671387,31.60645,69.15534,62.022205,76.62308,68.44266,54.38944,77.58398,78.14383,66.55778,77.81735,81.89978,80.38835,64.803856,0.0
53.179688,52.780556,66.163445,72.037254,43.423088,55.480545,46.57884,57.572186,64.4959,63.491417,56.863106,57.763603,62.77992,65.94111,54.92596,73.06551,68.9213,79.16418,79.03371,64.39585,0.0
58.643097,68.806465,58.767666,62.141888,67.42783,58.050014,50.194103,63.60305,48.315308,64.24707,69.02105,69.42829,67.74852,66.98913,68.644615,74.91054,66.01651,76.66346,70.2099,64.58785,0.0
