CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,ACCELERATION,SPRINT_SPEED,AGILITY,REACTION,BALANCE,SHOT_POWER,JUMPING,STAMINA,STRENGTH,LONG_SHOTS,AGGRESSION,INTERCEPTIONS,POSITIONING,VISION,PENALTIES,MARKING,STANDING_TACKLE,SLIDING_TACKLE,GK_DIVING,GK_HANDLING,GK_KICKING,GK_POSITIONING,GK_REFLEXES,y
54.006966,63.985905,48.713043,72.53239,66.46859,72.53318,64.54107,56.817238,66.739006,71.642365,71.16946,70.998146,73.22276,67.783554,64.21113,59.51934,70.29449,79.971924,68.01747,58.822075,77.81422,69.60295,66.5894,64.476326,49.166977,48.142128,60.774902,55.08876,8.121956,9.742112,11.366678,12.384401,12.253226,0.0
49.736614,36.264534,72.00654,65.815315,38.6395,70.15001,42.414227,31.702433,66.0404,65.13717,65.29649,67.75502,62.910637,64.17432,63.83999,54.776104,77.323395,65.8672,76.97552,48.504562,76.89494,60.278202,37.617645,45.074993,39.805878,72.3702,69.68768,71.66152,7.735601,8.065732,9.655737,8.6656475,13.718826,0.0
38.52539,29.389032,74.72879,58.685455,30.056734,40.81707,34.190823,31.224546,73.112274,58.038002,56.037426,58.19898,53.48058,62.077206,53.329678,49.057663,59.018276,63.69338,80.38871,34.452988,78.10534,73.79549,37.574543,44.905304,39.718853,72.94559,71.997284,71.58818,7.1508045,9.189321,11.848254,11.815978,10.727654,0.0
46.76078,47.580536,69.94147,75.96298,60.953754,70.81669,61.82278,34.305058,72.419525,72.33572,63.301666,64.72934,67.50535,76.14322,67.54446,59.72446,78.76973,80.420555,78.876076,60.833405,79.119934,75.63761,61.66107,67.77884,40.72827,72.941574,76.553116,74.231544,10.497223,10.853441,15.872936,9.814485,10.980202,0.0
50.034218,50.968906,71.019516,77.80968,59.856647,72.30444,63.082405,44.53303,73.00893,75.91374,58.989365,62.536976,61.725033,75.559494,60.403564,72.353615,76.16056,80.2214,78.34095,60.49423,78.79208,75.73368,61.625053,73.247375,50.85749,72.91314,76.55312,74.16956,9.995736,10.158725,12.997542,8.44083,9.766282,0.0
42.322895,41.488487,69.53937,67.44157,45.020195,56.29875,45.85968,46.29805,60.813656,65.803375,65.29509,67.232666,62.119965,66.153145,65.01488,59.092472,71.63075,62.300083,70.81066,57.439613,76.37122,53.975903,37.57662,52.68978,44.87639,69.87749,62.12605,64.056,8.828157,8.399068,10.850359,11.841207,11.733257,0.0
43.2602,30.25842,70.16661,77.42828,30.597095,48.305458,34.642464,31.084547,72.24496,72.04286,55.12797,56.19202,58.6115,70.21162,54.852154,55.819138,58.04893,71.20419,65.131935,35.13675,79.07284,75.73508,40.82935,74.800224,39.768276,72.93993,76.21946,72.9817,16.477203,9.421775,4.6655755,8.73944,8.934481,0.0
49.067448,54.636326,56.55514,64.0182,60.786133,65.45025,59.24288,50.837498,57.406174,62.348145,67.702225,71.64388,64.81782,60.05353,59.664005,56.900417,66.34553,67.3656,69.14312,54.822144,68.19784,53.386852,41.39442,48.107613,44.963715,52.69062,54.191456,61.0652,9.052969,10.825056,11.466106,11.891924,13.815871,0.0
39.231483,30.211254,76.66377,74.50408,36.230457,52.846767,41.143,31.9913,73.27091,69.80839,55.723843,57.725044,53.58725,76.52928,75.198265,60.758842,78.87143,63.097862,80.38851,34.970478,79.098656,75.76168,61.172024,75.24038,39.785423,72.945786,76.56549,74.25601,22.106089,12.434557,16.194414,5.960649,10.504327,0.0
52.674816,58.443336,50.768772,67.578064,64.9879,66.90858,53.735115,55.87413,61.256165,68.82548,70.28128,69.635826,73.76536,67.61946,70.13433,58.622734,62.045506,74.28583,59.210194,54.25957,60.37906,63.916878,64.472694,66.328026,51.10848,50.877728,54.74072,47.14689,9.215787,10.785266,10.2989855,10.003355,11.811009,0.0
