CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,y
54.834908,60.12957,69.78916,67.51171,58.382896,66.90059,60.760845,55.936844,65.81449,69.27221,0.0
52.83773,57.934395,74.485565,59.80813,64.88334,58.280453,62.134396,66.23942,67.06293,63.2281,0.0
38.509327,29.390196,76.663216,75.26125,30.060675,40.807934,34.19446,64.039246,65.614395,52.961506,0.0
46.804543,69.36195,71.26936,64.55731,60.390167,67.90953,59.328773,35.61507,45.30551,67.24918,0.0
54.216923,68.79626,71.88113,65.24087,64.75001,74.862335,64.67215,59.006653,64.89249,71.03749,0.0
47.73511,31.012178,68.46684,66.813835,36.51886,40.902443,34.261345,37.52376,57.37222,58.702347,0.0
55.70309,29.595865,64.217514,63.09579,48.989853,59.47446,37.939426,43.367916,60.48082,65.0728,0.0
56.199455,38.469337,69.82177,70.27059,30.135237,59.749336,38.71662,31.209839,70.14976,71.20734,0.0
58.236237,29.389017,61.684685,65.385475,60.840057,61.447613,53.191143,52.290413,61.212452,68.96589,0.0
52.19521,44.797535,70.8601,67.44842,56.492657,63.825768,46.994556,41.790943,66.72424,67.6038,0.0
53.511143,69.190056,76.66056,58.5545,65.187225,59.24218,53.270126,53.510998,54.333424,65.2423,0.0
57.293846,57.532047,64.067,60.998543,54.140236,61.007977,35.165085,50.940063,58.747303,58.539665,0.0
55.529972,52.123146,70.73954,61.04847,48.076305,57.4945,45.484108,31.137651,58.514557,60.608032,0.0
48.285778,60.83937,70.172646,62.671707,50.347668,62.604343,53.815075,45.71073,45.302464,62.952587,0.0
56.321373,55.279415,50.416866,76.25663,62.66682,62.230392,46.50566,48.163677,73.02754,71.251625,0.0
51.84762,69.36983,75.10545,60.473087,68.62673,74.57833,69.063126,64.89685,59.796227,73.982765,0.0
54.004177,49.867725,47.140385,61.20829,58.87395,61.37856,48.501774,50.055614,67.261505,68.791275,0.0
51.558372,43.791702,65.649055,61.225876,47.280518,43.91436,46.9022,41.777622,58.674572,58.30923,0.0
38.509315,32.001266,75.8137,55.171658,36.191666,40.8179,34.190662,45.408855,45.423733,50.469864,0.0
48.09614,59.477703,73.6313,58.305973,55.729443,53.26971,47.95794,45.87672,54.073997,53.561947,0.0
47.580677,47.916428,68.91026,59.166103,52.245712,56.615536,45.78479,54.41334,65.16734,64.85162,0.0
47.877926,35.00377,62.836864,62.94613,30.116644,55.058582,45.16825,42.699352,58.26285,62.19812,0.0
51.66515,68.981926,73.559746,54.504803,52.70245,66.48085,50.542664,31.035133,45.30944,56.28119,0.0
