CROSSING,FINISSHING,HEADING_ACCURACY,SHORT_PASSING,VOLLEYS,DRIBBLING,CURVE,FREE_KICK_ACCURACY,LONG_PASSING,BALL_CONTROL,ACCELERATION,SPRINT_SPEED,AGILITY,REACTION,BALANCE,SHOT_POWER,JUMPING,STAMINA,STRENGTH,LONG_SHOTS,y
38.452198,29.200907,76.43711,53.698635,29.895733,40.64953,33.89164,68.15479,58.399113,54.400696,73.58492,74.77989,54.597706,61.266163,66.64398,78.94926,78.785515,60.905716,80.30753,34.186863,0.0
55.010704,69.1662,71.4888,74.41333,68.46605,57.3084,54.384857,42.68644,45.160583,73.10348,74.53935,76.57697,73.20283,77.17357,59.786346,65.32198,57.749115,77.87717,63.54388,52.371273,0.0
59.114086,29.196014,54.611526,55.471233,29.895798,69.88687,34.263355,33.5791,63.543255,58.05448,79.78916,79.2178,66.32548,60.24298,53.46253,45.684963,62.83119,59.50048,80.033936,34.16547,0.0
38.541862,29.94866,76.45033,64.576416,29.931868,51.677155,33.970108,33.583763,62.35755,56.53747,60.16348,74.05622,53.758865,68.031685,53.374836,79.06729,78.3093,77.904396,80.30753,63.040665,0.0
47.666748,68.9752,66.15408,53.22021,67.90992,59.995804,67.14269,56.569588,45.11578,63.52167,55.56128,56.567516,59.29435,60.11896,72.57294,70.83732,67.074295,60.833427,64.40854,62.148975,0.0
59.26434,38.548004,71.47634,60.71759,50.766373,52.682194,63.901016,62.06115,65.11228,64.86115,58.789772,59.585976,62.262344,65.17005,59.719776,61.30836,59.743576,71.6871,80.1243,60.422634,0.0
49.69556,32.812267,76.44891,64.58218,45.299927,48.320248,35.075855,41.97789,54.079487,63.174435,55.457195,56.757675,53.467216,66.87737,53.922634,73.33183,74.89107,58.131752,80.30746,40.196663,0.0
38.399277,29.19597,76.45171,64.77039,29.89564,40.693504,33.819057,30.951502,50.516064,69.02091,80.31574,79.879944,55.5913,60.182236,77.496925,45.6839,78.810074,63.380013,80.30753,34.16547,0.0
50.989025,32.893635,75.67347,62.88311,33.710632,54.89848,41.765266,37.48202,66.481705,68.62055,63.52061,74.78158,72.85734,74.203835,54.25071,69.15156,78.62969,76.54796,80.30393,68.85493,0.0
52.478256,69.16587,71.814316,68.61923,68.59898,62.593,69.57557,67.9995,45.79025,69.4465,56.138256,56.601498,72.72293,74.96572,75.93017,74.87664,57.917732,61.11577,59.80733,56.352165,0.0
55.15905,33.63214,58.972008,57.94419,31.866629,56.559402,45.447712,34.35346,53.203163,62.573696,73.83207,78.50909,64.98698,60.11446,62.45935,58.49008,69.28492,76.649605,62.91989,51.675285,0.0
56.573727,33.561954,50.420692,66.15573,31.923622,59.951504,54.973732,53.29762,64.31088,66.97582,74.06077,73.612175,69.92536,62.48051,71.872955,54.09551,59.519947,79.96524,70.80152,42.21952,0.0
55.54275,69.17201,76.43846,76.53714,68.62082,64.84679,71.399574,63.676613,45.224003,75.84741,65.796135,73.35969,68.721725,75.74205,59.394753,77.94231,71.21383,80.82958,79.86323,59.87029,0.0
56.680195,69.13935,44.961227,59.983006,67.94883,67.51688,66.37132,38.542522,45.255276,66.839096,80.49735,80.52121,78.14605,63.545097,69.376396,64.16496,57.803116,73.343834,58.393837,53.98158,0.0
39.997173,68.997444,76.1904,51.09314,49.18647,42.362125,33.92218,31.498602,45.09201,61.918995,55.45888,56.659737,53.46303,62.301315,77.84182,51.16918,74.31018,61.433804,79.980705,41.420753,0.0
55.98832,29.458338,68.29892,67.80728,31.586605,69.65919,51.02291,43.660374,60.208775,68.53696,73.505226,78.06072,76.64562,66.64715,62.208263,46.738384,78.742424,77.05098,77.95197,34.184772,0.0
38.47359,29.199856,76.45172,63.368355,29.896772,40.634644,33.82084,68.65185,58.005684,58.870502,56.492134,57.57519,53.45355,61.056755,78.46449,45.716827,78.81006,56.844166,80.30753,34.16547,0.0
56.19821,68.12507,76.444046,76.65441,67.19034,66.84452,69.4011,66.26587,71.67554,75.16782,59.916374,69.67311,64.96837,74.10596,69.60983,73.436005,78.69879,79.724236,79.769844,66.9418,0.0
